nohup: ignoring input
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release (v0.10).  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 0: Tesla K40c (CNMeM is disabled, cuDNN not available)
256 0.02 Model_europarlupper_h256_lr0.02.pcl
Building model...
Number of parameters is 17255176
Training...
PPL: 1.7340; Speed: 2529.85 sps
PPL: 1.4847; Speed: 3987.01 sps
PPL: 1.3946; Speed: 4906.36 sps
PPL: 1.3460; Speed: 5509.60 sps
PPL: 1.3145; Speed: 5965.95 sps
PPL: 1.2924; Speed: 6350.23 sps
PPL: 1.2755; Speed: 6660.21 sps
PPL: 1.2620; Speed: 6907.47 sps
PPL: 1.2511; Speed: 7113.17 sps
PPL: 1.2423; Speed: 7287.42 sps
PPL: 1.2346; Speed: 7437.04 sps
PPL: 1.2280; Speed: 7563.63 sps
PPL: 1.2222; Speed: 7674.56 sps
PPL: 1.2170; Speed: 7772.70 sps
PPL: 1.2125; Speed: 7864.12 sps
PPL: 1.2084; Speed: 7941.27 sps
PPL: 1.2046; Speed: 8015.24 sps
PPL: 1.2011; Speed: 8076.35 sps
PPL: 1.1980; Speed: 8133.46 sps
PPL: 1.1951; Speed: 8186.61 sps
PPL: 1.1924; Speed: 8235.09 sps
PPL: 1.1899; Speed: 8281.08 sps
PPL: 1.1877; Speed: 8317.43 sps
PPL: 1.1856; Speed: 8356.91 sps
PPL: 1.1835; Speed: 8390.48 sps
PPL: 1.1816; Speed: 8425.16 sps
PPL: 1.1798; Speed: 8456.78 sps
PPL: 1.1782; Speed: 8482.62 sps
PPL: 1.1766; Speed: 8508.32 sps
PPL: 1.1751; Speed: 8530.19 sps
PPL: 1.1737; Speed: 8554.62 sps
PPL: 1.1724; Speed: 8577.18 sps
PPL: 1.1712; Speed: 8597.37 sps
PPL: 1.1700; Speed: 8619.01 sps
PPL: 1.1688; Speed: 8636.77 sps
PPL: 1.1677; Speed: 8651.70 sps
PPL: 1.1667; Speed: 8666.94 sps
PPL: 1.1657; Speed: 8681.34 sps
PPL: 1.1647; Speed: 8696.29 sps
PPL: 1.1638; Speed: 8707.56 sps
PPL: 1.1628; Speed: 8723.21 sps
PPL: 1.1620; Speed: 8736.77 sps
PPL: 1.1611; Speed: 8748.17 sps
PPL: 1.1602; Speed: 8761.18 sps
PPL: 1.1594; Speed: 8771.41 sps
PPL: 1.1587; Speed: 8782.55 sps
PPL: 1.1579; Speed: 8792.32 sps
PPL: 1.1572; Speed: 8799.93 sps
PPL: 1.1565; Speed: 8812.74 sps
PPL: 1.1558; Speed: 8822.84 sps
PPL: 1.1552; Speed: 8829.87 sps
PPL: 1.1546; Speed: 8839.90 sps
PPL: 1.1539; Speed: 8848.68 sps
PPL: 1.1533; Speed: 8856.26 sps
PPL: 1.1527; Speed: 8864.21 sps
PPL: 1.1522; Speed: 8871.79 sps
PPL: 1.1516; Speed: 8880.40 sps
PPL: 1.1511; Speed: 8888.90 sps
PPL: 1.1506; Speed: 8897.16 sps
PPL: 1.1500; Speed: 8902.73 sps
PPL: 1.1496; Speed: 8910.16 sps
PPL: 1.1491; Speed: 8916.63 sps
PPL: 1.1486; Speed: 8918.44 sps
PPL: 1.1481; Speed: 8924.13 sps
PPL: 1.1477; Speed: 8930.44 sps
PPL: 1.1472; Speed: 8935.61 sps
PPL: 1.1468; Speed: 8941.52 sps
PPL: 1.1464; Speed: 8946.75 sps
PPL: 1.1459; Speed: 8949.21 sps
PPL: 1.1455; Speed: 8941.29 sps
PPL: 1.1451; Speed: 8935.72 sps
PPL: 1.1447; Speed: 8929.92 sps
PPL: 1.1443; Speed: 8934.84 sps
Total number of training labels: 46187008
Total number of validation labels: 5469184
Validation perplexity is 1.137
PPL: 1.1110; Speed: 2445.06 sps
PPL: 1.1110; Speed: 3867.17 sps
PPL: 1.1109; Speed: 4808.97 sps
PPL: 1.1106; Speed: 5459.96 sps
PPL: 1.1104; Speed: 5953.51 sps
PPL: 1.1104; Speed: 6319.24 sps
PPL: 1.1103; Speed: 6622.68 sps
PPL: 1.1105; Speed: 6867.69 sps
PPL: 1.1104; Speed: 7075.74 sps
PPL: 1.1105; Speed: 7261.25 sps
PPL: 1.1104; Speed: 7404.63 sps
PPL: 1.1104; Speed: 7509.04 sps
PPL: 1.1103; Speed: 7591.40 sps
PPL: 1.1103; Speed: 7658.77 sps
PPL: 1.1102; Speed: 7727.43 sps
PPL: 1.1102; Speed: 7814.79 sps
PPL: 1.1101; Speed: 7896.41 sps
PPL: 1.1101; Speed: 7969.46 sps
PPL: 1.1100; Speed: 8034.27 sps
PPL: 1.1100; Speed: 8099.52 sps
PPL: 1.1099; Speed: 8160.49 sps
PPL: 1.1099; Speed: 8199.96 sps
PPL: 1.1099; Speed: 8248.76 sps
PPL: 1.1099; Speed: 8294.19 sps
PPL: 1.1099; Speed: 8328.83 sps
PPL: 1.1098; Speed: 8370.75 sps
PPL: 1.1098; Speed: 8407.59 sps
PPL: 1.1097; Speed: 8446.68 sps
PPL: 1.1096; Speed: 8478.47 sps
PPL: 1.1096; Speed: 8509.86 sps
PPL: 1.1095; Speed: 8539.34 sps
PPL: 1.1095; Speed: 8569.49 sps
PPL: 1.1095; Speed: 8595.99 sps
PPL: 1.1094; Speed: 8620.18 sps
PPL: 1.1093; Speed: 8641.81 sps
PPL: 1.1093; Speed: 8667.20 sps
PPL: 1.1093; Speed: 8688.50 sps
PPL: 1.1093; Speed: 8706.89 sps
PPL: 1.1092; Speed: 8725.95 sps
PPL: 1.1092; Speed: 8739.03 sps
PPL: 1.1092; Speed: 8754.84 sps
PPL: 1.1091; Speed: 8771.38 sps
PPL: 1.1091; Speed: 8790.41 sps
PPL: 1.1090; Speed: 8807.10 sps
PPL: 1.1090; Speed: 8822.34 sps
PPL: 1.1090; Speed: 8834.37 sps
PPL: 1.1089; Speed: 8849.39 sps
PPL: 1.1089; Speed: 8861.36 sps
PPL: 1.1088; Speed: 8874.11 sps
PPL: 1.1088; Speed: 8886.41 sps
PPL: 1.1087; Speed: 8898.19 sps
PPL: 1.1087; Speed: 8907.68 sps
PPL: 1.1087; Speed: 8918.79 sps
PPL: 1.1086; Speed: 8929.11 sps
PPL: 1.1086; Speed: 8938.14 sps
PPL: 1.1086; Speed: 8949.64 sps
PPL: 1.1085; Speed: 8958.63 sps
PPL: 1.1085; Speed: 8969.91 sps
PPL: 1.1085; Speed: 8978.48 sps
PPL: 1.1084; Speed: 8986.26 sps
PPL: 1.1084; Speed: 8996.26 sps
PPL: 1.1084; Speed: 9004.54 sps
PPL: 1.1083; Speed: 9013.15 sps
PPL: 1.1083; Speed: 9020.89 sps
PPL: 1.1083; Speed: 9027.18 sps
PPL: 1.1082; Speed: 9033.41 sps
PPL: 1.1082; Speed: 9036.39 sps
PPL: 1.1082; Speed: 9044.81 sps
PPL: 1.1081; Speed: 9051.60 sps
PPL: 1.1081; Speed: 9057.63 sps
PPL: 1.1081; Speed: 9064.19 sps
PPL: 1.1080; Speed: 9071.07 sps
PPL: 1.1080; Speed: 9078.54 sps
Total number of training labels: 46187008
Total number of validation labels: 5469184
Validation perplexity is 1.1311
PPL: 1.0991; Speed: 2465.13 sps
PPL: 1.0999; Speed: 3919.31 sps
PPL: 1.0992; Speed: 4885.75 sps
PPL: 1.0991; Speed: 5550.02 sps
PPL: 1.0992; Speed: 6052.72 sps
PPL: 1.0994; Speed: 6445.43 sps
PPL: 1.0994; Speed: 6751.67 sps
PPL: 1.0993; Speed: 7016.58 sps
PPL: 1.0993; Speed: 7229.98 sps
PPL: 1.0994; Speed: 7405.42 sps
PPL: 1.0995; Speed: 7560.74 sps
PPL: 1.0994; Speed: 7699.08 sps
PPL: 1.0994; Speed: 7815.69 sps
PPL: 1.0993; Speed: 7922.34 sps
PPL: 1.0995; Speed: 8010.45 sps
PPL: 1.0994; Speed: 8088.93 sps
PPL: 1.0994; Speed: 8164.81 sps
PPL: 1.0994; Speed: 8231.12 sps
PPL: 1.0994; Speed: 8289.02 sps
PPL: 1.0994; Speed: 8345.76 sps
PPL: 1.0994; Speed: 8393.16 sps
PPL: 1.0995; Speed: 8438.31 sps
PPL: 1.0995; Speed: 8479.46 sps
PPL: 1.0995; Speed: 8517.09 sps
PPL: 1.0995; Speed: 8554.95 sps
PPL: 1.0995; Speed: 8585.57 sps
PPL: 1.0995; Speed: 8615.59 sps
PPL: 1.0995; Speed: 8646.09 sps
PPL: 1.0995; Speed: 8673.00 sps
PPL: 1.0994; Speed: 8701.81 sps
PPL: 1.0994; Speed: 8723.07 sps
PPL: 1.0994; Speed: 8747.43 sps
PPL: 1.0994; Speed: 8770.92 sps
PPL: 1.0994; Speed: 8793.19 sps
PPL: 1.0994; Speed: 8813.05 sps
PPL: 1.0994; Speed: 8829.24 sps
PPL: 1.0994; Speed: 8849.01 sps
PPL: 1.0994; Speed: 8864.83 sps
PPL: 1.0994; Speed: 8881.21 sps
PPL: 1.0994; Speed: 8898.82 sps
PPL: 1.0994; Speed: 8913.53 sps
PPL: 1.0994; Speed: 8928.34 sps
PPL: 1.0994; Speed: 8942.35 sps
PPL: 1.0994; Speed: 8954.04 sps
PPL: 1.0994; Speed: 8965.59 sps
